,θ,iC,vS,vC0,i1,i2,vD,vO
185,320.00198118938863,7.689520153409468,12.123938283256532,9.641272309981744,3.6603371799828386,0.19556024078508727,0.013016843646476515,6.322144866788397
186,320.0334001369772,7.687247268004626,12.269070256503854,9.830731252269944,3.3766114069548023,-0.15953177422215464,-0.009522898766400207,6.320801430000489
187,320.0648190845657,7.6849272472440635,12.423956951584131,10.00496867261447,3.094218803179661,-0.5128344729128358,0.04105092121312841,6.319077355661284
188,320.0962380321543,7.682557043577373,12.588540931202543,10.164070848543737,2.8141291210648403,-0.8637025016936967,-0.002984692514639111,6.31697474176765
189,320.1276569797428,7.680133659391305,12.76250087043123,10.30853232670054,2.5512685747841406,-1.1959696911264808,-0.36688732527203255,6.314504299803368
190,320.1590759273314,7.677654287382606,12.944864837824337,10.439854471941395,2.3302568539769926,-1.482656142408929,-1.0376646584200713,6.311698680790304
191,320.1904948749199,7.675116541918174,13.133833173038516,10.56081962386485,2.172988101729362,-1.699729953658506,-1.8892214940385796,6.3086186266096655
192,320.2219138225085,7.672518702716959,13.32694993390415,10.675225768765607,2.091519447305044,-1.833978660694394,-2.818949851530961,6.305347170626309
193,320.253332770097,7.669859882171875,13.521450197296613,10.78734904595068,2.08929534769355,-1.8816338857681263,-3.7751459166722254,6.301977818614267
194,320.2847517176856,7.667140084052738,13.71454438118515,10.901503736102619,2.165258248762319,-1.843802758167844,-4.727424528516,6.2986049081061335
195,320.3161706652741,7.664360182347773,13.903558273036056,11.021825580935001,2.316048005956893,-1.724030619231519,-5.642234668831538,6.295318928723972
196,320.3475896128627,7.661521864312482,14.085996943063941,11.152172907376496,2.5358351780925164,-1.5284959136269958,-6.479656348763559,6.2922044509158574
197,320.37900856045127,7.658627557965827,14.259618460244056,11.296012575571257,2.8155813635657108,-1.2668441466839244,-7.20048884190628,6.289337705184037
198,320.4104275080398,7.655680338380539,14.422539496627953,11.45625656719214,3.1430028785296806,-0.9522441513448708,-7.772366599878545,6.286783049985033
199,320.44184645562837,7.652683801848006,14.573344128256595,11.635093620478772,3.5032836358873913,-0.6006165365368467,-8.171992986689379,6.284589311265341
200,320.4732654032169,7.651349126074406,3.390899651485344,11.822394527903356,3.436341690193609,-0.6280205999201547,-8.483359353994926,6.282581095048626
201,320.50468435080546,7.652312886911,-1.5837406024658458,11.992783831379334,2.7788159187599377,-1.1810618689315542,-8.92135318919699,6.280307622445579
202,320.536103298394,7.65429030845084,-0.05325583898736399,12.122471000082145,1.8901705582112036,-1.9325709228177703,-9.686052523183138,6.277348695231838
203,320.56752224598256,7.65610237884839,0.6241079579825902,12.204406967084791,1.1120956721820228,-2.5692889886115275,-10.831610929150944,6.27359052338752
204,320.5989411935711,7.6576060658130825,-0.006031467385524705,12.246045813306646,0.5124661210313428,-3.024441594978829,-12.284903465278509,6.269186773731948
205,320.63036014115966,7.659054541923323,-0.14449036471559557,12.258511615277678,0.04650694484519163,-3.3341791602122006,-13.93871092752341,6.264362796142335
206,320.6617790887482,7.660561564974278,0.0622266220137834,12.250323455233778,-0.30313934782243723,-3.511766311185476,-15.70638635778629,6.259300703114073
207,320.69319803633675,7.662110142111571,0.08882657261205454,12.227695113637294,-0.5264421551441978,-3.5471859497837044,-17.5201991603626,6.254142812941986
208,320.72461698392533,7.663668845373996,0.029366348738986837,12.196734608757605,-0.6148869569580664,-3.4328067643704765,-19.31315447406333,6.249029849831029
